t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439306375,0,0.000000,0.000000,0.000000,0.000000,events/second
1439306377,0,0.000000,0.000000,0.000000,0.000000,events/second
1439306379,0,0.000000,0.000000,0.000000,0.000000,events/second
1439306381,0,0.000000,0.000000,0.000000,0.000000,events/second
1439306383,0,0.000000,0.000000,0.000000,0.000000,events/second
1439306517,0,0.000000,0.000000,0.000000,0.000000,events/second
1439306519,0,0.000000,0.000000,0.000000,0.000000,events/second
1439306521,0,0.000000,0.000000,0.000000,0.000000,events/second
1439306523,0,0.000000,0.000000,0.000000,0.000000,events/second
1439306525,0,0.000000,0.000000,0.000000,0.000000,events/second
1439306527,0,0.000000,0.000000,0.000000,0.000000,events/second
1439306529,0,0.000000,0.000000,0.000000,0.000000,events/second
1439348502,0,0.000000,0.000000,0.000000,0.000000,events/second
